Ticker,Window,Total Return %,Max Drawdown %,Win Rate %,Trades,2021,2022,2023,2024,2025,2026
SHL.DE,"Pre-Drift [-5,-1]",4.7,-7.09,60.0,20,2.85,-4.9,0.86,2.57,4.44,-0.92
SHL.DE,"Announcement [-1,+1]",0.88,-22.02,55.0,20,3.71,14.16,-1.32,0.57,-11.87,-2.58
SHL.DE,"PEAD-Short [+1,+5]",6.42,-7.15,60.0,20,-0.52,4.73,1.59,-1.75,6.16,-3.61
SHL.DE,"PEAD-Long [+1,+20]",6.09,-15.43,50.0,20,11.79,0.15,-4.68,12.21,-9.87,-1.72
SHL.DE,"Full [-5,+5]",12.41,-17.15,55.0,20,6.12,13.7,1.11,1.35,-2.29,-6.96
SY1.DE,Buy & Hold,-23.84,-46.96,—,0,6.8,-21.26,-1.02,4.14,-32.12,29.43
SY1.DE,"Pre-Drift [-5,-1]",8.36,0.0,100.0,3,1.02,7.27,,,,
SY1.DE,"Announcement [-1,+1]",3.79,-2.88,66.7,3,1.57,2.18,,,,
SY1.DE,"PEAD-Short [+1,+5]",-10.55,-8.22,0.0,3,-2.54,-8.22,,,,
SY1.DE,"PEAD-Long [+1,+20]",-10.64,-6.51,0.0,3,-4.41,-6.51,,,,
SY1.DE,"Full [-5,+5]",0.6,-2.1,33.3,3,0.0,0.6,,,,
VOW3.DE,Buy & Hold,-42.65,-45.74,—,0,-12.49,-19.61,3.17,-13.9,23.96,-25.95
VOW3.DE,"Pre-Drift [-5,-1]",8.72,-16.97,50.0,20,6.26,5.3,-11.27,-0.71,21.48,-9.21
VOW3.DE,"Announcement [-1,+1]",-20.53,-25.58,40.0,20,-4.17,6.51,-5.98,-16.94,-2.63,2.39
VOW3.DE,"PEAD-Short [+1,+5]",-2.55,-13.69,45.0,20,-2.96,1.77,2.51,-1.59,-3.2,1.05
VOW3.DE,"PEAD-Long [+1,+20]",12.06,-29.95,55.0,20,-13.45,18.75,4.69,3.71,-5.74,6.54
VOW3.DE,"Full [-5,+5]",-15.81,-31.64,40.0,20,-1.19,14.14,-14.48,-18.83,14.51,-6.07
VNA.DE,Buy & Hold,-42.69,-65.76,—,0,-11.59,-43.75,36.76,6.06,-12.7,-9.0
VNA.DE,"Pre-Drift [-5,-1]",1.19,-17.96,45.0,20,2.44,12.94,-6.57,-0.87,-4.49,-1.14
VNA.DE,"Announcement [-1,+1]",-21.39,-22.59,45.0,20,-2.66,-9.12,-3.56,-1.74,5.6,-11.2
VNA.DE,"PEAD-Short [+1,+5]",3.73,-13.47,50.0,20,2.96,9.79,-5.14,10.04,-9.81,-2.52
VNA.DE,"PEAD-Long [+1,+20]",26.68,-16.76,60.0,20,-4.45,-10.61,17.88,15.97,3.16,5.18
VNA.DE,"Full [-5,+5]",-17.48,-28.68,45.0,20,2.67,12.69,-14.52,7.18,-9.03,-14.42
ZAL.DE,Buy & Hold,-71.3,-83.82,—,0,-26.43,-53.46,-35.22,51.0,-21.77,9.51
